Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Generate,Pajak,Bayar eBilling DJP,Bayar eBilling DJP,bayar ebilling djp,ebilling djp,ebilling djp,3.0,2.0,1.0,33.3
Generate,Pajak,Tagihan DJP Pajak,Tagihan DJP Pajak,tagihan djp pajak,tagihan djp pajak,tagih djp pajak,3.0,3.0,0.0,0.0
Generate,Pajak,Bayar PPh21 Gaji,Bayar PPh21 Gaji,bayar pph gaji,pph gaji,pph gaji,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PPh23 Vendor,Bayar PPh23 Vendor,bayar pph vendor,pph vendor,pph vendor,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PPh25 Bulanan,Bayar PPh25 Bulanan,bayar pph bulanan,pph bulanan,pph bulan,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PPN Usaha,Bayar PPN Usaha,bayar ppn usaha,ppn usaha,ppn usaha,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PPN Toko,Bayar PPN Toko,bayar ppn toko,ppn,ppn,3.0,1.0,2.0,66.7
Generate,Pajak,Bayar Pajak UMKM Final,Bayar Pajak UMKM Final,bayar pajak umkm final,pajak umkm final,pajak umkm final,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak Freelancer,Bayar Pajak Freelancer,bayar pajak freelancer,pajak freelancer,pajak freelancer,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Konsultan,Bayar Pajak Konsultan,bayar pajak konsultan,pajak konsultan,pajak konsultan,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Karyawan,Bayar Pajak Karyawan,bayar pajak karyawan,pajak karyawan,pajak karyawan,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak CV,Bayar Pajak CV,bayar pajak cv,pajak cv,pajak cv,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak PT,Bayar Pajak PT,bayar pajak pt,pajak pt,pajak pt,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Usaha Kecil,Bayar Pajak Usaha Kecil,bayar pajak usaha kecil,pajak usaha,pajak usaha,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Pajak Warung,Bayar Pajak Warung,bayar pajak warung,pajak warung,pajak warung,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Restoran Online,Bayar Pajak Restoran Online,bayar pajak restoran online,pajak restoran,pajak restoran,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Pajak Cafe,Bayar Pajak Cafe,bayar pajak cafe,pajak cafe,pajak cafe,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Hotel Bulanan,Bayar Pajak Hotel Bulanan,bayar pajak hotel bulanan,pajak hotel bulanan,pajak hotel bulan,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak Reklame Toko,Bayar Pajak Reklame Toko,bayar pajak reklame toko,pajak reklame,pajak reklame,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Pajak Billboard,Bayar Pajak Billboard,bayar pajak billboard,pajak billboard,pajak billboard,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Parkir Mall,Bayar Pajak Parkir Mall,bayar pajak parkir mall,pajak parkir mall,pajak parkir mall,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak Hiburan,Bayar Pajak Hiburan,bayar pajak hiburan,pajak hiburan,pajak hibur,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Karaoke,Bayar Pajak Karaoke,bayar pajak karaoke,pajak karaoke,pajak karaoke,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Event,Bayar Pajak Event,bayar pajak event,pajak event,pajak event,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Air Tanah Bulanan,Bayar Pajak Air Tanah Bulanan,bayar pajak air tanah bulanan,pajak air tanah bulanan,pajak air tanah bulan,5.0,4.0,1.0,20.0
Generate,Pajak,Bayar Pajak Sumur Bor,Bayar Pajak Sumur Bor,bayar pajak sumur bor,pajak sumur bor,pajak sumur bor,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Retribusi Sampah Rumah,Bayar Retribusi Sampah Rumah,bayar retribusi sampah rumah,retribusi sampah rumah,retribusi sampah rumah,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Retribusi Sampah Toko,Bayar Retribusi Sampah Toko,bayar retribusi sampah toko,retribusi sampah,retribusi sampah,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Iuran Kebersihan Bulanan,Bayar Iuran Kebersihan Bulanan,bayar iuran kebersihan bulanan,iuran kebersihan bulanan,iur bersih bulan,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak Daerah Online,Bayar Pajak Daerah Online,bayar pajak daerah online,pajak daerah,pajak daerah,4.0,2.0,2.0,50.0
Generate,Pajak,Pembayaran Pajak Daerah Kota,Pembayaran Pajak Daerah Kota,pembayaran pajak daerah kota,pembayaran pajak daerah kota,bayar pajak daerah kota,4.0,4.0,0.0,0.0
Generate,Pajak,Tagihan Pajak Kabupaten,Tagihan Pajak Kabupaten,tagihan pajak kabupaten,tagihan pajak kabupaten,tagih pajak kabupaten,3.0,3.0,0.0,0.0
Generate,Pajak,Bayar Pajak via Tokopedia,Bayar Pajak via Tokopedia,bayar pajak via tokopedia,pajak via tokopedia,pajak via tokopedia,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak via Shopee,Bayar Pajak via Shopee,bayar pajak via shopee,pajak via shopee,pajak via shopee,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak via Bukalapak,Bayar Pajak via Bukalapak,bayar pajak via bukalapak,pajak via bukalapak,pajak via bukalapak,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak via Livin,Bayar Pajak via Livin,bayar pajak via livin,pajak via livin,pajak via livin,4.0,3.0,1.0,25.0
