Source,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Sabun Sirih Manjakani Sabun Keset Sabun Herbal Sabun Natural Sabun Gatal,sabun sirih manjakani,sabun sirih manjakani sabun keset sabun herbal sabun natural sabun gatal,sirih manjakani keset herbal,sirih manjakani keset herbal,11.0,4.0,7.0,63.6
Shopee,TES KEHAMILAN TES PACK ONEMED ONE MED HCG URINE PREGNANCY TEST,tes onemed hcg,tes kehamilan tes pack onemed one med hcg urine pregnancy test,tes kehamilan tes onemed one med hcg urine pregnancy test,tes hamil tes onemed one med hcg urine pregnancy test,11.0,10.0,1.0,9.1
Shopee,Sumber Ayu Pembersih Kewanitaan Daun Sirih 50mL [Triple Whitening | Manjakani Keset ],sumber ayu pembersih kewanitaan daun sirih,sumber ayu pembersih kewanitaan daun sirih ml triple whitening manjakani keset,sumber pembersih kewanitaan daun sirih triple whitening manjakani keset,sumber bersih wanita daun sirih triple whitening manjakani keset,13.0,9.0,4.0,30.8
Shopee,(SKR) Tespek Test Pack Testpack Strip Alat Tes Kehamilan One Med Onemed Eceran,tespek test pack,skr tespek test pack testpack strip alat tes kehamilan one med onemed eceran,skr tespek test testpack strip alat tes kehamilan one med onemed eceran,skr tespek test testpack strip alat tes hamil one med onemed ecer,13.0,12.0,1.0,7.7
Shopee,Quick Sure Tes Hamil Quick Sure Tes Hamil Onemed,quick sure tes hamil,quick sure tes hamil quick sure tes hamil onemed,quick sure tes hamil quick sure tes hamil onemed,quick sure tes hamil quick sure tes hamil onemed,9.0,9.0,0.0,0.0
Shopee,MADU ASMARA SPRAY V virgin spray rapet Madura,madu asmara spray,madu asmara spray v virgin spray rapet madura,madu asmara spray virgin spray rapet madura,madu asmara spray virgin spray rapet madura,8.0,7.0,1.0,12.5
Shopee,Test pack strip Uji kehamilan Onemed tes kehamilan testpack tespek pregnancy,onemed tes kehamilan,test pack strip uji kehamilan onemed tes kehamilan testpack tespek pregnancy,test strip uji kehamilan onemed tes kehamilan testpack tespek pregnancy,test strip uji hamil onemed tes hamil testpack tespek pregnancy,11.0,10.0,1.0,9.1
Shopee,Laurier Relax Night Pembalut Wanita Malam Panjang 35cm Wing Perlindungan Tidur Bebas Bocor Semalaman Isi 12 Buah,laurier relax night pembalut,laurier relax night pembalut wanita malam panjang cm wing perlindungan tidur bebas bocor semalaman isi buah,laurier relax night pembalut malam wing perlindungan tidur bocor semalaman,laurier relax night balut malam wing lindung tidur bocor malam,17.0,10.0,7.0,41.2
Shopee,Tes Kehamilan ONEMED Exp 2028 - Testpack Instan,onemed testpack instan,tes kehamilan onemed exp testpack instan,tes kehamilan onemed exp testpack,tes hamil onemed exp testpack,8.0,5.0,3.0,37.5
Shopee,BETADINE WASH SIRIH RADIANCE BLOSSOM Pembersih Kewanitaan 110ml,betadine wash sirih radiance blossom,betadine wash sirih radiance blossom pembersih kewanitaan ml,betadine wash sirih radiance blossom pembersih kewanitaan,betadine wash sirih radiance blossom bersih wanita,8.0,7.0,1.0,12.5
Shopee,Pantyliner Softex Daun Sirih + Vitamin E 20 pads - Pantyliner Daun Sirih,softex daun sirih,pantyliner softex daun sirih vitamin e pads pantyliner daun sirih,pantyliner softex daun sirih vitamin pads pantyliner daun sirih,pantyliner softex daun sirih vitamin pads pantyliner daun sirih,13.0,9.0,4.0,30.8
Shopee,Test Hamil Onemed 5 Strip - Alat Test Kehamilan / Testpack,test hamil onemed,test hamil onemed strip alat test kehamilan testpack,test hamil onemed strip alat test kehamilan testpack,test hamil onemed strip alat test hamil testpack,11.0,8.0,3.0,27.3
Shopee,Misk Thahara Miss V Pengantin Original Musk TAHARAH Parfum,misk thahara miss v,misk thahara miss v pengantin original musk taharah parfum,misk thahara miss pengantin musk taharah parfum,misk thahara miss pengantin musk taharah parfum,9.0,7.0,2.0,22.2
Shopee,Testpack OneMed Test Kehamilan 1 Strip,testpack onemed,testpack onemed test kehamilan strip,testpack onemed test kehamilan strip,testpack onemed test hamil strip,6.0,5.0,1.0,16.7
